Component,Priority_Tier,Priority_Score,Dependents,Dependencies,Core_Owned,Structure_Type,Platform_Subdirs
i2c,1,221,51,,YES,component,
esp32,1,203,13,,YES,component,
uart,1,200,30,,YES,component,
esp8266,1,190,0,,YES,component,
spi,1,189,19,,YES,component,
time,1,182,2,,YES,component,
sensor,1,181,1,,YES,component,
binary_sensor,1,180,0,,YES,component,
button,1,180,0,,YES,component,
climate,1,180,0,,YES,component,
cover,1,180,0,,YES,component,
light,1,180,0,,YES,component,
lock,1,180,0,,YES,component,
network,1,180,10,,YES,component,
number,1,180,0,,YES,component,
output,1,180,0,,YES,component,
select,1,180,0,,YES,component,
switch,1,180,0,,YES,component,
valve,1,180,0,,YES,component,
api,1,174,4,network,YES,component,
logger,1,173,3,,YES,component,
async_tcp,1,170,0,network,YES,component,
mdns,1,170,0,network,YES,component,
ota,1,170,0,,YES,component,
socket,1,170,0,,YES,component,
web_server_base,1,170,0,network,YES,component,
adc,2,100,0,,YES,sensor,
bme280_base,2,100,0,,YES,component,
captive_portal,2,100,0,wifi,YES,component,
const,2,100,0,,YES,component,
dashboard_import,2,100,0,api,YES,component,
debug,2,100,0,logger,YES,sensor+text_sensor,
epaper_spi,2,100,0,,YES,display,
font,2,100,0,,YES,component,
globals,2,100,0,,YES,component,
gpio,2,100,0,,YES,component,"switch,binary_sensor,one_wire,output"
homeassistant,2,100,0,,YES,component,
host,2,100,0,,YES,component,
improv_base,2,100,0,,YES,component,
improv_serial,2,100,0,"logger,wifi",YES,component,
interval,2,100,0,,YES,component,
json,2,100,0,,YES,component,
md5,2,100,0,,YES,component,
power_supply,2,100,0,,YES,component,
preferences,2,100,0,,YES,component,
psram,2,100,0,PLATFORM_ESP32,YES,component,
restart,2,100,0,,YES,component,
script,2,100,0,,YES,component,
sha256,2,100,0,,YES,component,
shutdown,2,100,0,,YES,component,
substitutions,2,100,0,,YES,component,
version,2,100,0,,YES,text_sensor,
rp2040,3,91,1,,NO,component,
bk72xx,3,90,0,,NO,component,
libretiny,3,90,0,,NO,component,
rtl87xx,3,90,0,,NO,component,
display,3,87,7,,NO,component,
alarm_control_panel,3,80,0,,NO,component,
datetime,3,80,0,,NO,component,
event,3,80,0,,NO,component,
fan,3,80,0,,NO,component,
media_player,3,80,0,,NO,component,
text_sensor,3,80,0,,NO,component,
update,3,80,0,,NO,component,
water_heater,3,80,0,,NO,component,
wifi,3,73,3,,NO,component,
ethernet,3,70,0,,NO,component,
web_server,3,70,0,,NO,component,
